18 18
TextRock 0 0
Is 1 0
Stop 2 0
Rock 3 0
Grass 6 0
Skull 9 0
Grass 13 0
Grass 16 0
Rock 3 1
Skull 9 1
TextSkull 0 2
Is 1 2
Defeat 2 2
Rock 3 2
Grass 5 2
Wall 7 2
Wall 8 2
Skull 9 2
Wall 10 2
Wall 11 2
Wall 12 2
Wall 13 2
Wall 14 2
Wall 15 2
Wall 16 2
Rock 3 3
Grass 5 3
Wall 7 3
Skull 9 3
Wall 12 3
StoneFloor 13 3
StoneFloor 14 3
StoneFloor 15 3
Wall 16 3
TextFlag 0 4
Is 1 4
Win 2 4
Rock 3 4
Wall 7 4
Skull 9 4
StoneFloor 13 4
Flag 14 4
StoneFloor 15 4
Wall 16 4
Rock 0 5
Rock 1 5
Rock 2 5
Rock 3 5
Wall 7 5
Skull 9 5
Wall 12 5
StoneFloor 13 5
StoneFloor 14 5
StoneFloor 15 5
Wall 16 5
Wall 7 6
Skull 9 6
Wall 12 6
Wall 13 6
Wall 14 6
Wall 15 6
Wall 16 6
Wall 3 7
Wall 4 7
Wall 5 7
Wall 6 7
Wall 7 7
Skull 9 7
Wall 10 7
Wall 11 7
Wall 12 7
Wall 3 8
StoneFloor 4 8
StoneFloor 5 8
StoneFloor 6 8
Wall 7 8
Skull 9 8
Skull 10 8
Skull 11 8
Skull 12 8
Skull 13 8
Skull 14 8
Skull 15 8
Skull 16 8
Skull 17 8
Wall 3 9
StoneFloor 4 9
Baba 5 9
StoneFloor 6 9
Wall 12 9
Wall 3 10
StoneFloor 4 10
StoneFloor 5 10
StoneFloor 6 10
Wall 7 10
Wall 12 10
Wall 3 11
Wall 4 11
Wall 5 11
Wall 6 11
Wall 7 11
Wall 12 11
Grass 14 11
Grass 1 12
TextBaba 4 12
Is 5 12
You 6 12
Wall 7 12
TextWall 9 12
Is 10 12
Stop 11 12
Wall 12 12
Grass 15 12
Wall 7 13
Wall 12 13
Wall 7 14
Wall 8 14
Wall 9 14
Wall 10 14
Wall 11 14
Wall 12 14
Grass 15 14
Grass 3 15
Grass 5 15
Grass 15 15
Grass 3 16
Grass 7 16
Grass 14 16
Grass 15 16
